Date,Open,High,Low,Close,Volume,Market Cap
16-Apr-17,1172.61,1187.22,1172.61,1182.94,183231000,19085100000
15-Apr-17,1167.3,1188,1164.96,1172.52,203559000,18996500000
14-Apr-17,1170.33,1190.8,1159.79,1167.54,254827000,19043800000
13-Apr-17,1201.02,1205.89,1156.44,1169.28,351969000,19541300000
12-Apr-17,1204.81,1207.14,1196.76,1200.37,288702000,19600800000
11-Apr-17,1187.46,1208.07,1187.46,1205.01,216182000,19316000000
10-Apr-17,1187.3,1190.34,1179.04,1187.13,215883000,19311200000
09-Apr-17,1176.57,1197.21,1171.86,1187.87,242343000,19134400000
08-Apr-17,1172.65,1184.98,1162.58,1175.95,209312000,19068600000
07-Apr-17,1178.94,1186.58,1163.39,1176.9,317022000,19168500000
06-Apr-17,1125.81,1188.37,1125.81,1182.68,511222000,18302600000
05-Apr-17,1134.14,1135.09,1113.63,1124.78,414784000,18435700000
04-Apr-17,1145.52,1156.44,1120.52,1133.25,436310000,18619000000
03-Apr-17,1102.95,1151.74,1102.95,1143.81,580444000,17924600000
